timestamp,duration,memory
2012508,30,150
2012516,30,150
2012517,30,150
2012527,49,150
2012550,49,150
2012553,49,150
2012676,30,150
2013098,49,150
2013471,30,150
2013518,30,150
2013678,49,150
2013696,49,150
2013726,49,150
2013901,49,150
2013951,10,147
2014127,30,150
2014273,49,150
2014461,49,150
2014563,30,150
2015064,30,150
2015072,30,150
2015209,49,150
2015424,49,150
2015604,49,150
2015741,49,150
2015778,30,150
2015903,30,150
2016120,30,150
2016123,586,137
2016582,30,150
2016748,30,150
2017127,30,150
2017378,30,150
2017416,49,150
2017463,841,176
2017723,30,150
2017918,49,150
2018025,30,150
2018136,30,150
2018254,30,150
2018464,49,150
2018567,49,150
2018573,49,150
2019162,30,150
2019185,49,150
2019404,49,150
2019521,30,150
2019601,49,150
2019810,49,150
2020121,30,150
2020291,30,150
2020395,49,150
2020402,30,150
2020506,49,150
2020749,49,150
2020865,30,150
2020908,30,150
2021030,49,150
2021120,894,177
2021131,30,150
2021158,30,150
2021168,49,150
2021435,30,150
2021542,49,150
2021705,30,150
2021863,30,150
2022261,49,150
2022838,33,108
2022961,49,150
2022973,874,187
2023316,49,150
2023547,30,150
2023549,30,150
2023588,30,150
2023881,10,147
2023938,49,150
2024077,93,203
2024159,49,150
2024210,49,150
2024273,49,150
2024279,49,150
2024464,30,150
2024764,49,150
2024830,49,150
2024856,49,150
2024928,30,150
2025072,30,150
2025087,120,95
2025160,49,150
2025272,49,150
2025420,851,179
2025575,30,150
2025727,30,150
2025750,49,150
2025790,49,150
2025906,30,150
2026209,30,150
2026293,49,150
2026533,49,150
2026622,49,150
2026816,49,150
2026914,879,185
2027087,30,150
2027461,49,150
2027463,49,150
2027600,49,150
2027634,30,150
2027923,30,150
2027933,30,150
2028096,93,203
2028350,49,150
2028630,30,150
2028807,49,150
2028856,49,150
2028957,30,150
2029896,30,150
2030310,49,150
2030322,30,150
2030511,49,150
2030615,49,150
2030893,30,150
2031358,30,150
2031398,30,150
2031434,49,150
2031608,49,150
2031994,30,150
2032195,10,147
2032231,49,150
2032669,49,150
2032699,49,150
2033095,30,150
2033191,91,203
2033242,30,150
2033283,49,150
2033448,30,150
2033670,49,150
2033988,30,150
2034310,30,150
2034374,30,150
2034550,30,150
2034551,10,147
2034613,30,150
2034700,49,150
2034748,30,150
2034787,30,150
2035030,49,150
2035052,30,150
2035195,49,150
2035410,30,150
2035430,30,150
2035587,49,150
2035668,30,113
2035675,49,150
2035783,49,150
2035835,30,150
2035881,30,150
2036020,30,150
2036158,30,150
2036190,49,150
2036292,30,150
2036563,30,150
2036624,30,150
2036625,30,150
2036920,30,150
2037270,49,150
2037298,30,150
2037314,49,150
2037398,10,147
2037414,30,150
2037414,49,150
2037498,49,150
2037689,30,150
2038427,49,150
2038429,30,150
2038542,49,150
2039023,49,150
2039052,49,150
2039074,30,150
2039096,30,150
2039121,49,150
2039126,49,150
2039488,30,150
2039774,49,150
2039818,49,150
2040504,30,150
2040595,30,150
2040665,49,150
2040911,49,150
2041103,30,150
2041281,49,150
2041288,30,150
2041375,30,150
2041671,30,150
2041955,30,150
2041955,859,174
2041990,49,150
2042118,49,150
2042182,49,150
2042422,49,150
2042492,30,150
2042787,30,150
2043179,30,150
2043195,7373,375
2043282,49,150
2043490,30,150
2043504,10,147
2043512,30,150
2043519,30,150
2043685,10,147
2044002,49,150
2044508,30,150
2044738,30,150
2044771,49,150
2045129,831,178
2045137,30,150
2045237,30,150
2045305,30,150
2045367,30,150
2045692,30,150
2045969,49,150
2046045,49,150
2046181,30,150
2046192,49,150
2046192,30,150
2046221,30,150
2046238,49,150
2046263,30,150
2046356,49,150
2046363,10,147
2046365,49,150
2046374,49,150
2046710,30,150
2046949,30,150
2047099,49,150
2047395,49,150
2047424,30,150
2047426,12,104
2047520,49,150
2047591,49,150
2047593,49,150
2047623,49,150
2047711,49,150
2047974,49,150
2048003,49,150
2048113,30,150
2048153,30,150
2048172,30,150
2048235,30,150
2048567,30,150
2048753,30,150
2049112,30,150
2049144,30,150
2049504,49,150
2049629,49,150
2049755,49,150
2049945,30,150
2049996,586,137
2050172,49,150
2050735,30,150
2050791,30,150
2051494,30,150
2051571,49,150
2051682,30,150
2051704,49,150
2051721,49,150
2051785,49,150
2051797,30,150
2051865,30,150
